"auction_id","cusip","announcement_date","auction_date","issue_date","maturity_date","dated_date","auction_format","closing_time_competitive","closing_time_noncompetitive","offering_amount","total_tendered","total_accepted","bid_to_cover_ratio","high_yield","low_yield","average_median_yield","high_price","low_price","price_per_100","updated_timestamp","created_at","updated_at"
1,"912810UM8",2025-09-04,2025-09-11,2025-09-15,2055-08-15,,Single-Price,,,22000000000.00,,,,,,,,,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
2,"91282CNT4",2025-09-04,2025-09-10,2025-09-15,2035-08-15,,Single-Price,,,39000000000.00,,,,,,,,,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
3,"91282CNY3",2025-09-04,2025-09-09,2025-09-15,2028-09-15,,Single-Price,,,58000000000.00,,,,,,,,,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
4,"912797QG5",2025-09-04,2025-09-09,2025-09-11,2025-10-23,,Single-Price,,,85000000000.00,,,,,,,,,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
5,"912797QY6",2025-09-04,2025-09-08,2025-09-11,2025-12-11,,Single-Price,,,82000000000.00,,,,,,,,,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
6,"912797SB4",2025-09-04,2025-09-08,2025-09-11,2026-03-12,,Single-Price,,,73000000000.00,,,,,,,,,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
7,"912797RB5",2025-09-02,2025-09-04,2025-09-09,2025-10-07,,Single-Price,,,100000000000.00,278681760600.00,100277478100.00,2.7800,,,,99.6753,,99.6753,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
8,"912797RM1",2025-09-02,2025-09-04,2025-09-09,2025-11-04,,Single-Price,,,85000000000.00,237379139600.00,85236145600.00,2.7900,,,,99.3622,,99.3622,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
9,"912797SE8",2025-09-02,2025-09-03,2025-09-09,2026-01-06,,Single-Price,,,65000000000.00,217296425900.00,65180254300.00,3.3400,,,,98.6893,,98.6893,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
10,"912797QF7",2025-08-28,2025-09-02,2025-09-04,2025-10-16,,Single-Price,,,85000000000.00,225723194000.00,86710659000.00,2.6400,,,,99.5112,,99.5112,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
11,"912797QS9",2025-08-28,2025-09-02,2025-09-04,2025-12-04,,Single-Price,,,82000000000.00,244330287600.00,83650546400.00,2.9600,,,,98.9775,,98.9775,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
12,"912797RV1",2025-08-28,2025-09-02,2025-09-04,2026-03-05,,Single-Price,,,73000000000.00,198677360200.00,74469295200.00,2.7000,,,,98.0384,,98.0384,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
13,"912797RS8",2025-08-28,2025-09-02,2025-09-04,2026-09-03,,Single-Price,,,50000000000.00,191872341500.00,51006327000.00,3.8200,,,,96.2993,,96.2993,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
14,"912797QW0",2025-08-26,2025-08-28,2025-09-02,2025-09-30,,Single-Price,,,100000000000.00,268147387800.00,100262555400.00,2.6800,,,,99.6698,,99.6698,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
15,"912797RE9",2025-08-26,2025-08-28,2025-09-02,2025-10-28,,Single-Price,,,85000000000.00,248735303100.00,85223324700.00,2.9200,,,,99.3552,,99.3552,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
16,"91282CNW7",2025-08-21,2025-08-28,2025-09-02,2032-08-31,,Single-Price,,,44000000000.00,114814922900.00,49310372900.00,2.4900,3.9250,2.8800,3.8700,99.6963,,99.6963,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
17,"912797RZ2",2025-08-26,2025-08-27,2025-09-02,2025-12-30,,Single-Price,,,65000000000.00,195295506000.00,65170499600.00,3.0000,,,,98.6712,,98.6712,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
18,"91282CNX5",2025-08-21,2025-08-27,2025-09-02,2030-08-31,,Single-Price,,,70000000000.00,173834450900.00,78448346900.00,2.3600,3.7240,3.6000,3.6670,99.5522,,99.5522,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
19,"91282CNQ0",2025-08-21,2025-08-27,2025-08-29,2027-07-31,,Single-Price,,,28000000000.00,90043759500.00,28000072000.00,3.2200,,,,99.9305,,99.9305,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
20,"91282CNV9",2025-08-21,2025-08-26,2025-09-02,2027-08-31,,Single-Price,,,69000000000.00,194026963700.00,77327624900.00,2.6900,3.6410,3.5000,3.6000,99.9691,,99.9691,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
21,"912797QE0",2025-08-21,2025-08-26,2025-08-28,2025-10-09,,Single-Price,,,85000000000.00,252317221400.00,88681118900.00,2.9300,,,,99.5088,,99.5088,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
22,"912797NL7",2025-08-21,2025-08-25,2025-08-28,2025-11-28,,Single-Price,,,82000000000.00,255099247600.00,85550429800.00,3.0700,,,,98.9522,,98.9522,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
23,"912797RU3",2025-08-21,2025-08-25,2025-08-28,2026-02-26,,Single-Price,,,73000000000.00,248721726100.00,76160596100.00,3.3600,,,,98.0208,,98.0208,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
24,"912810UH9",2025-08-14,2025-08-21,2025-08-29,2055-02-15,,Single-Price,,,8000000000.00,22237376100.00,8000011500.00,2.7800,2.6500,0.8880,2.6000,96.4659,,96.4659,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
25,"912797QV2",2025-08-19,2025-08-21,2025-08-26,2025-09-23,,Single-Price,,,100000000000.00,260810184000.00,100270704000.00,2.6100,,,,99.6656,,99.6656,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
26,"912797RD1",2025-08-19,2025-08-21,2025-08-26,2025-10-21,,Single-Price,,,85000000000.00,230392161100.00,85229768600.00,2.7100,,,,99.3436,,99.3436,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
27,"912810UN6",2025-08-14,2025-08-20,2025-09-02,2045-08-15,,Single-Price,,,16000000000.00,42560167300.00,17931045300.00,2.5400,4.8760,2.8880,4.8200,99.9822,,99.9822,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
28,"912797RY5",2025-08-19,2025-08-20,2025-08-26,2025-12-23,,Single-Price,,,65000000000.00,204564254500.00,65175674500.00,3.1400,,,,98.6613,,98.6613,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
29,"912797MS3",2025-08-14,2025-08-19,2025-08-21,2025-10-02,,Single-Price,,,85000000000.00,222088813100.00,88997458100.00,2.5700,,,,99.5048,,99.5048,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
30,"912797QR1",2025-08-14,2025-08-18,2025-08-21,2025-11-20,,Single-Price,,,82000000000.00,225641609500.00,85856639500.00,2.7000,,,,98.9560,,98.9560,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
31,"912797PM3",2025-08-14,2025-08-18,2025-08-21,2026-02-19,,Single-Price,,,73000000000.00,218666361600.00,76433166800.00,2.9500,,,,98.0056,,98.0056,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
32,"912797QU4",2025-08-12,2025-08-14,2025-08-19,2025-09-16,,Single-Price,,,100000000000.00,266919105400.00,100271770400.00,2.6700,,,,99.6671,,99.6671,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
33,"912797RC3",2025-08-12,2025-08-14,2025-08-19,2025-10-14,,Single-Price,,,85000000000.00,231196421000.00,85230941000.00,2.7200,,,,99.3490,,99.3490,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
34,"912797RX7",2025-08-12,2025-08-13,2025-08-19,2025-12-16,,Single-Price,,,65000000000.00,227392487300.00,65176941600.00,3.5000,,,,98.6613,,98.6613,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
35,"912797PY7",2025-08-07,2025-08-12,2025-08-14,2025-09-25,,Single-Price,,,85000000000.00,209996200900.00,90808200900.00,2.4000,,,,99.5024,,99.5024,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
36,"912797QQ3",2025-08-07,2025-08-11,2025-08-14,2025-11-13,,Single-Price,,,82000000000.00,221871446100.00,87603948600.00,2.6400,,,,98.9510,,98.9510,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
37,"912797RT6",2025-08-07,2025-08-11,2025-08-14,2026-02-12,,Single-Price,,,73000000000.00,239372809000.00,77988611000.00,3.2100,,,,97.9929,,97.9929,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
38,"912810UM8",2025-07-30,2025-08-07,2025-08-15,2055-08-15,,Single-Price,,,25000000000.00,65142374300.00,33484349300.00,2.2700,4.8130,4.6400,4.7400,99.0053,,99.0053,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
39,"912797QT7",2025-08-05,2025-08-07,2025-08-12,2025-09-09,,Single-Price,,,100000000000.00,282366331900.00,100269741900.00,2.8200,,,,99.6656,,99.6656,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
40,"912797RB5",2025-08-05,2025-08-07,2025-08-12,2025-10-07,,Single-Price,,,85000000000.00,268816912300.00,85228483300.00,3.1600,,,,99.3412,,99.3412,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
41,"91282CNT4",2025-07-30,2025-08-06,2025-08-15,2035-08-15,,Single-Price,,,42000000000.00,112983689500.00,56253817500.00,2.3500,4.2550,4.1200,4.1950,99.9596,,99.9596,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
42,"912797RW9",2025-08-05,2025-08-06,2025-08-12,2025-12-09,,Single-Price,,,65000000000.00,215612924000.00,65174652000.00,3.3100,,,,98.6431,,98.6431,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
43,"91282CNU1",2025-07-30,2025-08-05,2025-08-15,2028-08-15,,Single-Price,,,58000000000.00,166167017500.00,77683702500.00,2.5300,3.6690,3.4600,3.6100,99.8761,,99.8761,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
44,"912797PX9",2025-07-31,2025-08-05,2025-08-07,2025-09-18,,Single-Price,,,85000000000.00,226008608400.00,89741403400.00,2.6000,,,,99.4983,,99.4983,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
45,"912797RG4",2025-07-31,2025-08-05,2025-08-07,2026-08-06,,Single-Price,,,50000000000.00,145044907100.00,52788599100.00,2.8500,,,,96.1982,,96.1982,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
46,"912797QP5",2025-07-31,2025-08-04,2025-08-07,2025-11-06,,Single-Price,,,82000000000.00,264578385100.00,86573490800.00,3.1700,,,,98.9472,,98.9472,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
47,"912797RL3",2025-07-31,2025-08-04,2025-08-07,2026-02-05,,Single-Price,,,73000000000.00,233245419900.00,77071461600.00,3.1400,,,,97.9879,,97.9879,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
48,"912797QM2",2025-07-29,2025-07-31,2025-08-05,2025-09-02,,Single-Price,,,95000000000.00,250200769800.00,95257799800.00,2.6300,,,,99.6663,,99.6663,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
49,"912797QW0",2025-07-29,2025-07-31,2025-08-05,2025-09-30,,Single-Price,,,85000000000.00,214531818500.00,85230803500.00,2.5200,,,,99.3327,,99.3327,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
50,"912797RR0",2025-07-29,2025-07-30,2025-08-05,2025-12-02,,Single-Price,,,65000000000.00,224614771800.00,65177181200.00,3.4500,,,,98.6084,,98.6084,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
51,"912797PW1",2025-07-24,2025-07-29,2025-07-31,2025-09-11,,Single-Price,,,80000000000.00,217726104800.00,84780729800.00,2.6600,,,,99.5018,,99.5018,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
52,"91282CNQ0",2025-07-24,2025-07-29,2025-07-31,2027-07-31,,Single-Price,,,30000000000.00,86417876500.00,32042881500.00,2.8100,,,,100.0000,,100.0000,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
53,"91282CNR8",2025-07-24,2025-07-29,2025-07-31,2032-07-31,,Single-Price,,,44000000000.00,125624252400.00,46996686100.00,2.7900,4.0920,3.8800,4.0570,99.4449,,99.4449,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
54,"912797NA1",2025-07-24,2025-07-28,2025-07-31,2025-10-30,,Single-Price,,,82000000000.00,268159305400.00,86899304800.00,3.2100,,,,98.9295,,98.9295,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
55,"912797RK5",2025-07-24,2025-07-28,2025-07-31,2026-01-29,,Single-Price,,,73000000000.00,249417206600.00,77361508000.00,3.3600,,,,97.9171,,97.9171,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
8233,"912794P99",1994-12-28,1994-12-29,1995-01-03,1995-01-19,,Multi-Price,,,14000000000.00,42975000000.00,14009000000.00,,,,,99.7500,99.7530,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
56,"91282CNP2",2025-07-24,2025-07-28,2025-07-31,2027-07-31,,Single-Price,,,69000000000.00,185594830700.00,73698811200.00,2.6200,3.9200,3.8000,3.8700,99.9142,,99.9142,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
57,"91282CNN7",2025-07-24,2025-07-28,2025-07-31,2030-07-31,,Single-Price,,,70000000000.00,166761520600.00,74766753000.00,2.3100,3.9830,3.8000,3.9200,99.5147,,99.5147,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
58,"91282CNS6",2025-07-17,2025-07-24,2025-07-31,2035-07-15,,Single-Price,,,21000000000.00,52135717500.00,22430027400.00,2.4100,1.9850,1.8990,1.9320,99.1168,,99.1168,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
59,"912797QL4",2025-07-22,2025-07-24,2025-07-29,2025-08-26,,Single-Price,,,95000000000.00,256047241300.00,95268926300.00,2.6900,,,,99.6698,,99.6698,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
60,"912797QV2",2025-07-22,2025-07-24,2025-07-29,2025-09-23,,Single-Price,,,85000000000.00,223869728600.00,85240750600.00,2.6300,,,,99.3366,,99.3366,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
61,"912810UL0",2025-07-17,2025-07-23,2025-07-31,2045-05-15,,Single-Price,,,13000000000.00,37110250600.00,13885258600.00,2.7900,4.9350,3.8800,4.8860,100.8005,,100.8005,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
62,"912797RQ2",2025-07-22,2025-07-23,2025-07-29,2025-11-25,,Single-Price,,,65000000000.00,230903267200.00,65185347400.00,3.5500,,,,98.6034,,98.6034,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
63,"912797MH7",2025-07-17,2025-07-22,2025-07-24,2025-09-04,,Single-Price,,,80000000000.00,231220192700.00,83080376700.00,2.8500,,,,99.5030,,99.5030,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
64,"912797QG5",2025-07-17,2025-07-21,2025-07-24,2025-10-23,,Single-Price,,,82000000000.00,247680691900.00,85157260300.00,2.9800,,,,98.9282,,98.9282,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
65,"912797PD3",2025-07-17,2025-07-21,2025-07-24,2026-01-22,,Single-Price,,,73000000000.00,226269139300.00,75810659300.00,3.0600,,,,97.9196,,97.9196,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
66,"912797QK6",2025-07-15,2025-07-17,2025-07-22,2025-08-19,,Single-Price,,,90000000000.00,262307080800.00,90270238000.00,2.9100,,,,99.6710,,99.6710,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
67,"912797QU4",2025-07-15,2025-07-17,2025-07-22,2025-09-16,,Single-Price,,,80000000000.00,208141372500.00,80240274900.00,2.6000,,,,99.3358,,99.3358,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
68,"912797RP4",2025-07-15,2025-07-16,2025-07-22,2025-11-18,,Single-Price,,,65000000000.00,196387596900.00,65195318500.00,3.0200,,,,98.6018,,98.6018,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
69,"912797PQ4",2025-07-10,2025-07-15,2025-07-17,2025-08-28,,Single-Price,,,70000000000.00,207579186800.00,72855309300.00,2.9200,,,,99.5030,,99.5030,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
70,"912797QF7",2025-07-10,2025-07-14,2025-07-17,2025-10-16,,Single-Price,,,82000000000.00,257924275300.00,85344773700.00,3.1000,,,,98.9270,,98.9270,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
71,"912797RJ8",2025-07-10,2025-07-14,2025-07-17,2026-01-15,,Single-Price,,,73000000000.00,229293683700.00,75977882800.00,3.1000,,,,97.9146,,97.9146,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
72,"912797QJ9",2025-07-08,2025-07-10,2025-07-15,2025-08-12,,Single-Price,,,80000000000.00,247056673500.00,80260099700.00,3.0800,,,,99.6706,,99.6706,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
73,"912797QT7",2025-07-08,2025-07-10,2025-07-15,2025-09-09,,Single-Price,,,70000000000.00,200397818600.00,70227968600.00,2.8600,,,,99.3350,,99.3350,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
74,"912810UK2",2025-07-03,2025-07-10,2025-07-15,2055-05-15,,Single-Price,,,22000000000.00,55034067400.00,24603117400.00,2.3800,4.8890,3.8800,4.8380,97.8171,,97.8171,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
75,"912797RN9",2025-07-08,2025-07-09,2025-07-15,2025-11-12,,Single-Price,,,65000000000.00,196980060100.00,65212666100.00,3.0300,,,,98.5900,,98.5900,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
76,"91282CNC1",2025-07-03,2025-07-09,2025-07-15,2035-05-15,,Single-Price,,,39000000000.00,106441100400.00,43614645500.00,2.6100,4.3620,4.2000,4.3100,99.1019,,99.1019,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
77,"91282CNM9",2025-07-03,2025-07-08,2025-07-15,2028-07-15,,Single-Price,,,58000000000.00,152398267900.00,64862776900.00,2.5100,3.8910,3.7000,3.8360,99.9551,,99.9551,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
78,"912797PP6",2025-07-03,2025-07-08,2025-07-10,2025-08-21,,Single-Price,,,50000000000.00,166393593200.00,52877945700.00,3.2700,,,,99.5024,,99.5024,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
79,"912797RF6",2025-07-03,2025-07-08,2025-07-10,2026-07-09,,Single-Price,,,50000000000.00,164137407500.00,52877857500.00,3.2300,,,,96.0314,,96.0314,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
80,"912797QE0",2025-07-03,2025-07-07,2025-07-10,2025-10-09,,Single-Price,,,82000000000.00,229973207300.00,86719644800.00,2.7500,,,,98.9244,,98.9244,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
81,"912797RH2",2025-07-03,2025-07-07,2025-07-10,2026-01-08,,Single-Price,,,73000000000.00,223364737100.00,77202455400.00,3.0000,,,,97.9045,,97.9045,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
82,"912797QH3",2025-07-01,2025-07-03,2025-07-08,2025-08-05,,Single-Price,,,55000000000.00,179535113900.00,55238694700.00,3.2600,,,,99.6702,,99.6702,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
83,"912797QM2",2025-07-01,2025-07-03,2025-07-08,2025-09-02,,Single-Price,,,45000000000.00,139651928600.00,45195963600.00,3.1000,,,,99.3311,,99.3311,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
84,"912797QV2",2025-07-01,2025-07-03,2025-07-08,2025-09-23,,Single-Price,,,60000000000.00,173731227000.00,60000947000.00,2.9000,,,,99.0835,,99.0835,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
85,"912797RM1",2025-07-01,2025-07-02,2025-07-08,2025-11-04,,Single-Price,,,65000000000.00,198084351400.00,65282511400.00,3.0400,,,,98.6166,,98.6166,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
86,"912797PN1",2025-06-26,2025-07-01,2025-07-03,2025-08-14,,Single-Price,,,50000000000.00,151809446300.00,53373878800.00,2.9700,,,,99.4937,,99.4937,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
87,"912797MS3",2025-06-26,2025-06-30,2025-07-03,2025-10-02,,Single-Price,,,79000000000.00,245490801200.00,84329792700.00,3.0400,,,,98.9295,,98.9295,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
88,"912797RA7",2025-06-26,2025-06-30,2025-07-03,2026-01-02,,Single-Price,,,71000000000.00,201145069800.00,75790269800.00,2.7700,,,,97.9108,,97.9108,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
89,"912797QC4",2025-06-24,2025-06-26,2025-07-01,2025-07-29,,Single-Price,,,60000000000.00,183895957100.00,60251212100.00,3.0600,,,,99.6889,,99.6889,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
