"detail_id","auction_id","primary_dealer_accepted","primary_dealer_percentage","direct_bidder_accepted","direct_bidder_percentage","indirect_bidder_accepted","indirect_bidder_percentage","created_at","updated_at"
1,7,30980465000.00,30.89,5780000000.00,5.76,56698768100.00,56.54,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
2,8,32285747500.00,37.88,5848375000.00,6.86,45314222500.00,53.16,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
3,9,19843470000.00,30.44,3703692500.00,5.68,40880940900.00,62.72,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
4,10,30334750000.00,34.98,4597990000.00,5.30,48848142400.00,56.33,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
5,11,22378180000.00,26.75,5780000000.00,6.91,51625013000.00,61.72,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
6,12,24426935000.00,32.80,7815000000.00,10.49,38999613000.00,52.37,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
7,13,7569752500.00,14.84,1127025000.00,2.21,40258898000.00,78.93,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
8,14,29076795000.00,29.00,5291445000.00,5.28,57010035900.00,56.86,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
9,15,26526420000.00,31.13,3855000000.00,4.52,52945191600.00,62.13,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
10,16,4297200000.00,8.71,5604550000.00,11.37,34002535000.00,68.96,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
11,17,16816620000.00,25.80,3250350000.00,4.99,44403075600.00,68.13,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
12,18,6139000000.00,7.83,21480101000.00,27.38,42264749000.00,53.88,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
13,19,5997450000.00,21.42,200000000.00,0.71,21783862500.00,77.80,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
14,20,6659350000.00,8.61,22673100000.00,29.32,39032454200.00,50.48,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
15,21,24272370000.00,27.37,5737095000.00,6.47,53669552500.00,60.52,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
16,22,23073465000.00,26.97,5679525000.00,6.64,51175005000.00,59.82,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
17,23,11637975000.00,15.28,10067000000.00,13.22,49421061000.00,64.89,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
18,24,354775500.00,4.43,1996000000.00,24.95,5602973900.00,70.04,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
19,25,29794720000.00,29.71,4495000000.00,4.48,57314900700.00,57.16,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
20,26,23058175000.00,27.05,4717805000.00,5.54,55588382500.00,65.22,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
