"cusip","security_type","security_term","original_security_term","series","corpus_cusip","tips","floating_rate","callable","call_date","created_at","updated_at"
"91282CNY3",Note,"3-Year",,AS-2028,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797SB4",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797SE8",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RV1",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RS8",Bill,"52-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNW7",Note,"7-Year",,P-2032,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RZ2",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNX5",Note,"5-Year",,AC-2030,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNV9",Note,"2-Year",,BG-2027,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RU3",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912810UN6",Bond,"20-Year",,Bonds of August 2045,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RY5",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RX7",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RT6",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912810UM8",Bond,"30-Year",,Bonds of August 2055,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNT4",Note,"10-Year",,E-2035,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RW9",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNU1",Note,"3-Year",,AR-2028,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RG4",Bill,"52-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RL3",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RR0",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNQ0",Note,"2-Year",,BF-2027,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNR8",Note,"7-Year",,N-2032,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RK5",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNP2",Note,"2-Year",,BE-2027,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNN7",Note,"5-Year",,AB-2030,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNS6",Note,"10-Year",,D-2035,,true,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RQ2",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RP4",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RJ8",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RN9",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNM9",Note,"3-Year",,AQ-2028,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RF6",Bill,"52-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RH2",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RM1",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RA7",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNJ6",Note,"7-Year",,M-2032,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RE9",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNK3",Note,"5-Year",,AA-2030,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNL1",Note,"2-Year",,BD-2027,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RD1",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QZ3",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RC3",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNH0",Note,"3-Year",,AP-2028,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QX8",Bill,"52-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QY6",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797RB5",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QS9",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNF4",Note,"7-Year",,L-2032,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QW0",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNG2",Note,"5-Year",,Z-2030,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNE7",Note,"2-Year",,BC-2027,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912810UL0",Bond,"20-Year",,Bonds of May 2045,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QV2",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QR1",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QU4",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QN0",Bill,"52-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QQ3",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912810UK2",Bond,"30-Year",,Bonds of May 2055,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QT7",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CNC1",Note,"10-Year",,C-2035,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"91282CND9",Note,"3-Year",,AN-2028,,false,false,false,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QP5",Bill,"26-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
"912797QM2",Bill,"17-Week",,"",,false,false,,,2025-09-05 08:47:51.776,2025-09-05 08:47:51.776
